0:2:40, VER.02.03.00.00: UNKNOWN ERROR:
0:22:30, VER.02.03.00.00: UNKNOWN ERROR:
0:30:4, VER.02.03.00.00: UNKNOWN ERROR:
1:4:39, VER.02.03.00.00: UNKNOWN ERROR:
2:18:50, VER.02.03.00.00: UNKNOWN ERROR:
2:20:48, VER.02.03.00.00: UNKNOWN ERROR:
2:31:44, VER.02.03.00.00: UNKNOWN ERROR:
2:45:0, VER.02.03.00.00: UNKNOWN ERROR:
2:49:41, VER.02.03.00.00: UNKNOWN ERROR:
2:57:33, VER.02.03.00.00: UNKNOWN ERROR:
11:35:15, VER.02.03.00.00: UNKNOWN ERROR:
11:35:15, VER.02.03.00.00: UNKNOWN ERROR:
11:36:46, VER.02.03.00.00: UNKNOWN ERROR:
14:42:42, VER.02.03.00.00: UNKNOWN ERROR:
15:54:46, VER.02.03.00.00: UNKNOWN ERROR:
17:31:15, VER.02.03.00.00: UNKNOWN ERROR:
